id,name,slug,description,,,,,,,,,owner_id,category_id,custom_attributes,,,,,,,,,,,place_id,created_by,,,peekaboo_id
14534,Qasim General Store And Communication,qasim-general-store-and-communication,General Store And Communication in Karachi.,,,,,,,,,,,"{""peekaboo_slug"": ""qasim-general-store-and-communication"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Untitled1_1b57b058-153a-4075-9607-639fb3133f50-553.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:25.029Z""}",,,,,,,,,,,,,,,38574
14535,Prince Communication,prince-communication,Communication Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""prince-communication"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Untitled1_7cc51c39-28d2-465c-b56d-0e01c686a6d9-42.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:25.117Z""}",,,,,,,,,,,,,,,38591
14536,Noor Communication Baldia,noor-communication-baldia,Communication Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""noor-communication-baldia"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Untitled1_361de6bb-ffbd-4299-9cb1-e2872cc9d367-635.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:33.925Z""}",,,,,,,,,,,,,,,38669
14537,New Zee Communication,new-zee-communication,Communication Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""new-zee-communication"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Untitled1_19f65a67-15c1-4a4f-8e77-75495608eb21-854.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:34.285Z""}",,,,,,,,,,,,,,,38703
14538,New Khyber Communication,new-khyber-communication,Communication Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""new-khyber-communication"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Untitled1_ad8c91dd-0bc3-44cd-a91e-179dc4b05214-995.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:34.348Z""}",,,,,,,,,,,,,,,38729
14539,New Great Time Communication,new-great-time-communication,Communication Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""new-great-time-communication"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Untitled1_f90b5cbf-f384-4ab7-9dfe-0822fb62d488-16.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:34.745Z""}",,,,,,,,,,,,,,,38733
14540,Pharmacie Plus,pharmacie-plus,"At Pharmacie Plus, We Care.",,,,,,,,,,,"{""peekaboo_slug"": ""pharmacie-plus"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-21:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/21c04002-6300-4d84-9e42-44bf814414ff-168.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:34.883Z""}",,,,,,,,,,,,,,,1394
14541,Saucy Pizza,saucy-pizza,An Oasis of Pleasure.,,,,,,,,,,,"{""peekaboo_slug"": ""saucy-pizza"", ""peekaboo_tags"": [{""tag"": ""Pizza"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/fbd2fc21-6f6c-4a18-a7fa-3b0025385458-894.png"", ""tagId"": 139}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""12:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_a4c70db7-baf0-48c5-a3d9-cb4b5c2e22ea-146.gif"", ""peekaboo_last_sync"": ""2026-05-14T09:25:30.286Z""}",,,,,,,,,,,,,,,28603
14542,Soho Pizzeria,soho-pizzeria,Authentic New York style pizza in your Town.,,,,,,,,,,1,"{""peekaboo_slug"": ""soho-pizzeria"", ""peekaboo_tags"": [{""tag"": ""Pizza"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/fbd2fc21-6f6c-4a18-a7fa-3b0025385458-894.png"", ""tagId"": 139}], ""custom_category"": null, ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""19:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_55e09bf8-23f6-4f76-b797-80183d7cc598-487.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:45.643Z""}",,,,,,,,,,,,,,,28027
14543,Pizza.com Karachi,pizza-com-karachi,Fast Food Restaurant,,,,,,,,,,,"{""peekaboo_slug"": ""pizzacom-karachi"", ""peekaboo_tags"": [{""tag"": ""Pizza"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/fbd2fc21-6f6c-4a18-a7fa-3b0025385458-894.png"", ""tagId"": 139}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""15:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/pizzacom_91ad7666-ee21-402d-81d9-21671465464c-810.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:45.850Z""}",,,,,,,,,,,,,,,30249
14544,Moni's Mobile City,moni-s-mobile-city,"Moni's Mobile City, Opens in 2000 in Area of Boat Basin Clifton Karachi.",,,,,,,,,,,"{""peekaboo_slug"": ""monis-mobile-city"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""11:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logomonis_f3aa00eb-7215-405e-ab70-4a3fb4559850-22.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:46.045Z""}",,,,,,,,,,,,,,,30494
14545,Unique Medicos,unique-medicos,Medical Wholesaler in Karachi.,,,,,,,,,,,"{""peekaboo_slug"": ""unique-medicos"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:00:00-22:30:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/uniqemedicos_8a2dc959-6b0d-4abd-b1fe-35fc94baa7fc-161.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:46.297Z""}",,,,,,,,,,,,,,,30536
14546,New Super Telephone,new-super-telephone,Retail Mobile Phone Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""new-super-telephone"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""13:00:00-22:30:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/LOGOnewsuper_a89be7c2-aaaa-4370-8768-142c7e2a4406-809.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:56.098Z""}",,,,,,,,,,,,,,,30553
14547,Roomi Paints,roomi-paints,Paint shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""roomi-paints"", ""peekaboo_tags"": [], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/roomi_6ea80b1b-d28e-497e-b8d3-7081cc9b78ae-756.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:30:56.358Z""}",,,,,,,,,,,,,,,25188
14548,Saify Multi Colour,saify-multi-colour,Paint shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""saify-multi-colour"", ""peekaboo_tags"": [], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": null, ""peekaboo_last_sync"": ""2026-05-06T15:30:56.576Z""}",,,,,,,,,,,,,,,25190
14549,Sabrang Paint Palace,sabrang-paint-palace,Paint shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""sabrang-paint-palace"", ""peekaboo_tags"": [], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": null, ""peekaboo_last_sync"": ""2026-05-06T15:30:56.941Z""}",,,,,,,,,,,,,,,25230
14550,Tawakal Paints Store,tawakal-paints-store,Paint shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""tawakal-paints-store"", ""peekaboo_tags"": [], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": null, ""peekaboo_last_sync"": ""2026-05-06T15:30:57.080Z""}",,,,,,,,,,,,,,,25294
14551,Win an iPhone,win-an-iphone,Get a chance to win an iPhone everyday with your HBL Card!,,,,,,,,,,,"{""peekaboo_slug"": ""win-an-iphone"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 5, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/hbllogoupdated_3a57797d-8f37-403e-b967-5f8b51cfa4ee-359.png"", ""peekaboo_last_sync"": ""2026-05-06T15:31:07.257Z""}",,,,,,,,,,,,,,,16603
14552,SMY Production,smy-production,"Photography is not just an art it’s a way of looking at life that overpowers all dimension of time, because it captures moments forever those from the past",,,,,,,,,,9,"{""peekaboo_slug"": ""smy-production"", ""peekaboo_tags"": [{""tag"": ""Photography"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/03fdc738-b175-4908-b157-72e75881fbba-384.png"", ""tagId"": 210}], ""custom_category"": null, ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_fc95b34d-58f6-4621-bfc4-64dcd5d48693-262.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:07.460Z""}",,,,,,,,,,,,,,,17071
14553,Zulu's Photography,zulu-s-photography,Weddings ( Portraits & Events) Karachi History,,,,,,,,,,4,"{""peekaboo_slug"": ""zulus-photography"", ""peekaboo_tags"": [{""tag"": ""Photography"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/03fdc738-b175-4908-b157-72e75881fbba-384.png"", ""tagId"": 210}], ""custom_category"": null, ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_937f3a4b-4aa1-4047-be4c-598a3279a42a-736.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:07.607Z""}",,,,,,,,,,,,,,,17127
14554,National Medical Store,national-medical-store,We have vast range of medicines and surgical items with reasonable prices,,,,,,,,,,,"{""peekaboo_slug"": ""national-medical-store"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_0e8141f1-7ace-4ef4-b8a5-4e6d914c9caf-28.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:07.934Z""}",,,,,,,,,,,,,,,17295
14555,Zam Zam Medical Store,zam-zam-medical-store,Medical Store In Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""zam-zam-medical-store"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""11:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_b79711d9-8e20-4b5a-9e88-47df4caf9a1d-718.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:08.128Z""}",,,,,,,,,,,,,,,17300
14556,Waleed Classic Super Store,waleed-classic-super-store,We have food items for our customers with the best services.,,,,,,,,,,,"{""peekaboo_slug"": ""waleed-classic-super-store"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""08:30:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logowaleedstoer_e257ecb1-b314-4833-a34a-4f894a057d3e-445.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:17.848Z""}",,,,,,,,,,,,,,,17334
14557,Rising Communication,rising-communication,"We Are Located on 1st Floor Saima Mall Gulistan E Johar Karachi. We Sell All Types of Smart Phone, Mobile Accessories, All Types of Tabs or Ipads.",,,,,,,,,,,"{""peekaboo_slug"": ""rising-communication"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""11:00:00-22:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_774cfbf4-6a60-445c-ad0b-d0c5bc037b2a-37.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:18.262Z""}",,,,,,,,,,,,,,,61030
14558,SaverPlus Pharmacy & Supermarket,saverplus-pharmacy-supermarket,Saverplus Pharmacy & Supermarket Is Pakistan's First Ever Leading Multi Purpose Store.,,,,,,,,,,,"{""peekaboo_slug"": ""saverplus-pharmacy--supermarket"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_e780250c-4ae7-44c1-a21f-aa96448b806b-132.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:18.418Z""}",,,,,,,,,,,,,,,61613
14559,Time Medical,time-medical,"Get Your Medicines, Medical Devices & Compounding Delivered at Your Doorstep Across the Pakistan",,,,,,,,,,,"{""peekaboo_slug"": ""time-medical"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""07:30:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_77267047-aab3-4d77-a9f9-e0536ef64578-150.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:18.740Z""}",,,,,,,,,,,,,,,61618
14560,The Pharmacy Services,the-pharmacy-services,"Authentic Medicines, Medical Devices & Compounding Is Guaranteed",,,,,,,,,,,"{""peekaboo_slug"": ""the-pharmacy-services"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""08:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_3fc9bcec-dd5c-4ce9-996a-af19f1539b0e-434.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:18.843Z""}",,,,,,,,,,,,,,,61776
14561,Mobile Mania Karachi,mobile-mania-karachi,Mobile Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""mobile-mania-karachi"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:00:00-22:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_a5fc8d7f-1501-40b9-91ee-818d5ee5124e-110.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:29.047Z""}",,,,,,,,,,,,,,,61790
14562,Smoky Pizza & Pasta,smoky-pizza-pasta,Better Taste with Aroma,,,,,,,,,,,"{""peekaboo_slug"": ""smoky-pizza--pasta"", ""peekaboo_tags"": [{""tag"": ""Pizza"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/fbd2fc21-6f6c-4a18-a7fa-3b0025385458-894.png"", ""tagId"": 139}, {""tag"": ""Pasta"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/e9bca5d5-5524-4aeb-a783-3970b80a3284-903.png"", ""tagId"": 284}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""14:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_e1ee6152-3307-4f34-921c-7a3c9caf3d58-412.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:29.466Z""}",,,,,,,,,,,,,,,67696
14563,Rajput Medical & General Store,rajput-medical-general-store,Pharmacy Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""rajput-medical--general-store"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:30:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_24c1cd30-10e6-4bdb-adf1-3f88e11bb814-984.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:29.661Z""}",,,,,,,,,,,,,,,61930
14564,Mobile City Orangi,mobile-city-orangi,Mobile Shop in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""mobile-city-orangi"", ""peekaboo_tags"": [{""tag"": ""Phones"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/d48da899-58e6-4880-96d7-e06429ddd0fe-926.png"", ""tagId"": 155}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:00:00-22:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_b510c330-5258-428e-9fc8-4f5224a564ca-992.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:29.918Z""}",,,,,,,,,,,,,,,61787
14565,Plus Pharmacy,plus-pharmacy,"Plus Pharmacy in Abbottabad is Providing Their Customers a Wide Range of Products Including, Medicines, Surgical, Imported Cosmetics and Imported Medicines Having Good Quality",,,,,,,,,,,"{""peekaboo_slug"": ""plus-pharmacy-"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": null, ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_9e8e20e1-e0b4-42b3-925f-df91e2e92d0e-411.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:30.007Z""}",,,,,,,,,,,,,,,62704
14566,Rwhan Pharmacy,rwhan-pharmacy,Medical Store In Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""rwhan-pharmacy"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""11:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_503dd99f-40ae-4bb4-a28f-27111ebf0ce1-700.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:39.343Z""}",,,,,,,,,,,,,,,64017
14567,Naeem Medical & General Store,naeem-medical-general-store,Medical and General Store in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""naeem-medical--general-store"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_00b3b8ca-9bc9-4996-9655-f3f2b51868d9-447.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:39.680Z""}",,,,,,,,,,,,,,,64054
14568,Z.R Medical & General Store,z-r-medical-general-store,Medical and General Store in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""zr-medical--general-store"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""11:00:00-23:00:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_1a44513f-973c-45e7-b768-f3189ae9736f-870.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:39.807Z""}",,,,,,,,,,,,,,,64064
14569,Shabbir Medicous,shabbir-medicous,Medical and General Store in Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""shabbir-medicous-"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""09:30:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_aafb7d97-a071-40fd-8839-9fd909f14447-816.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:40.151Z""}",,,,,,,,,,,,,,,64097
14570,Shakeel Medical Store Karachi,shakeel-medical-store-karachi,Medical Store In Karachi,,,,,,,,,,,"{""peekaboo_slug"": ""shakeel-medical-store-karachi-"", ""peekaboo_tags"": [{""tag"": ""Pharmacy"", ""cover"": null, ""image"": ""https://d2liqplnt17rh6.cloudfront.net/tagImages/f24d6b82-43c5-4024-a295-082dbe1c03a0-532.png"", ""tagId"": 196}], ""peekaboo_rating"": 0, ""peekaboo_package"": ""PREMIUM"", ""peekaboo_timings"": ""10:00:00-23:59:00"", ""peekaboo_logo_url"": ""https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2_4c8c1c0d-abae-446a-aaf0-d9123de5d155-864.jpeg"", ""peekaboo_last_sync"": ""2026-05-06T15:31:40.322Z""}",,,,,,,,,,,,,,,64109
